City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Saint George,US,72.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
223,Sakata,JP,57.38,broken clouds,38.9167,139.855,Hotel Rich & Garden Sakata
225,Nome,US,48.27,clear sky,64.5011,-165.4064,Dredge 7 Inn
226,Mount Gambier,AU,49.71,light rain,-37.8333,140.7667,The Commodore
227,Puri,IN,91.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
228,Coihaique,CL,38.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
229,Necochea,AR,38.61,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
230,Geraldton,AU,59.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
231,Toppenish,US,56.01,overcast clouds,46.3774,-120.3087,Legends Casino Hotel
232,Itaituba,BR,70.57,overcast clouds,-4.2761,-55.9836,Hotel Campos
233,Zapolyarnyy,RU,51.08,light rain,69.4154,30.8136,Pechenga
234,Pafos,CY,81.23,few clouds,34.7667,32.4167,Elysium Hotel
235,Nuuk,GL,50.61,few clouds,64.1835,-51.7216,Vandrehuset
236,Kousseri,CM,90.54,overcast clouds,12.0769,15.0306,Le Pilotis
237,Makokou,GA,81.45,light rain,0.5738,12.8642,Hôtel
238,Rafaela,AR,37.99,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
239,Kolpashevo,RU,48.6,overcast clouds,58.3131,82.9089,Gostinitsa Legenda
240,Grand Gaube,MU,79.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
242,Warren,US,56.95,clear sky,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
243,Kismayo,SO,82.15,light rain,-0.3582,42.5454,Agan-Hotel
244,Pisco,PE,61.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
245,Mayumba,GA,78.17,few clouds,-3.432,10.6554,LIKWALE LODGE
247,Buriti Dos Lopes,BR,72.79,overcast clouds,-3.175,-41.8669,Pousada Alves
